epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8792.17,1.13121,1.1076,1.70734,0.80866,0.75591,0.81406,0.50389,1.22252,1.09613,1.76972,0.000800131,0.000800131,0.000800131
91,8889.21,1.0986,1.1149,1.66673,0.85731,0.72358,0.82133,0.48473,1.32284,1.11291,1.87386,0.000795954,0.000795954,0.000795954
92,8986.27,1.16327,1.14841,1.73663,0.78014,0.71545,0.76278,0.45759,1.30212,1.1937,1.84709,0.000791744,0.000791744,0.000791744
93,9083.38,1.11669,1.12576,1.69629,0.80572,0.75068,0.822,0.50795,1.1835,1.09735,1.72815,0.000787503,0.000787503,0.000787503
94,9180.65,1.11746,1.11773,1.68892,0.7738,0.73236,0.80795,0.4974,1.26118,1.1298,1.77673,0.000783231,0.000783231,0.000783231
95,9277.98,1.08121,1.11184,1.65812,0.79031,0.73541,0.82234,0.52572,1.17449,1.14337,1.73657,0.000778929,0.000778929,0.000778929
96,9375.28,1.11588,1.15,1.68881,0.82452,0.72579,0.8218,0.51039,1.23317,1.10157,1.79839,0.000774596,0.000774596,0.000774596
97,9472.61,1.09501,1.07612,1.66887,0.82298,0.74526,0.82437,0.5285,1.1434,1.12022,1.69306,0.000770234,0.000770234,0.000770234
98,9569.7,1.10749,1.10895,1.67266,0.85776,0.73442,0.83797,0.54633,1.18032,1.04433,1.71943,0.000765843,0.000765843,0.000765843
99,9666.93,1.08995,1.10453,1.66081,0.83995,0.71545,0.81382,0.51254,1.17635,1.13226,1.71807,0.000761423,0.000761423,0.000761423
100,9764.35,1.07873,1.09806,1.65077,0.7683,0.77281,0.82113,0.52838,1.17001,1.09205,1.71139,0.000756976,0.000756976,0.000756976
101,9861.66,1.09637,1.0953,1.67394,0.8393,0.72186,0.82694,0.53913,1.17401,1.05488,1.72607,0.0007525,0.0007525,0.0007525
102,9958.84,1.05325,1.04212,1.63615,0.816,0.74515,0.82942,0.53021,1.16985,1.08911,1.72121,0.000747997,0.000747997,0.000747997
103,10056.1,1.07865,1.05744,1.65359,0.80864,0.74797,0.82273,0.48452,1.28776,1.08483,1.82051,0.000743468,0.000743468,0.000743468
104,10153.3,1.05879,1.04738,1.64033,0.80447,0.71816,0.79208,0.51605,1.18038,1.07884,1.72837,0.000738913,0.000738913,0.000738913
105,10250.5,1.09465,1.07025,1.65511,0.8167,0.72087,0.81097,0.52262,1.15706,1.08101,1.71473,0.000734332,0.000734332,0.000734332
106,10347.8,1.04851,1.04494,1.62925,0.77,0.72581,0.79938,0.47701,1.29533,1.13598,1.86691,0.000729725,0.000729725,0.000729725
107,10445,1.09503,1.07937,1.66918,0.78238,0.74526,0.78941,0.5066,1.19596,1.11358,1.74814,0.000725094,0.000725094,0.000725094
108,10542.2,1.03218,1.0058,1.61305,0.81779,0.74526,0.8356,0.53043,1.16511,1.02471,1.69203,0.000720439,0.000720439,0.000720439
109,10639.5,1.06466,1.03076,1.63012,0.81381,0.74526,0.81536,0.52961,1.1534,1.05683,1.67266,0.000715761,0.000715761,0.000715761
110,10736.6,1.03003,1.01819,1.5896,0.89415,0.75068,0.85948,0.55081,1.19553,0.98113,1.72994,0.000711059,0.000711059,0.000711059
